ちびまる子ちゃん
サザエさん
きかんしゃトーマス
それいけ!アンパンマン
しまじろう
デビルマン
赤ずきんチャチャ
映像研には手を出すな！
宇宙少年ソラン
少女革命ウテナ
トライガン
ラ・セーヌの星
宇宙戦艦ヤマト
NARUTO -ナルト-
かぐや様は告らせたい -ウルトラロマンティック-
君の名は。鬼滅の刃
ヴィンランド・サガ
ジャングル大帝
天空の城ラピュタ美少女戦士セーラームーン
めぞん一刻
銀河鉄道999
リコリス・リコイル
舞-HiME
∀ガンダム
銀魂
交響詩篇エウレカセブン
東京リベンジャーズ
スーパーカブ
地獄先生ぬ～べ～鋼の錬金術師
ひぐらしのなく頃に
名探偵コナン
葬送のフリーレン
Fate/stay night [Unlimited Blade Works]
機動戦士ガンダムZZ
SHIROBAKO
スラムダンク
SPY×FAMILY
Dr.スランプ アラレちゃん
機動戦士ガンダム 水星の魔女
サスケ
機動戦士ガンダム
超時空要塞マクロス
機動武闘伝Gガンダム
Re:ゼロから始める異世界生活
魔法少女まどか☆マギカ
未来少年コナン
聖闘士星矢
おそ松さん
鉄人28号
機動警察パトレイバー
ブラック・ラグーン
タッチ
らんま1/2
キテレツ大百科
ハイスクール！奇面組
狼少年ケン
Fate/Zero
ゆるキャン△
ローゼンメイデン
キャプテンハーロック
天元突破グレンラガン
じゃりン子チエ
機動戦士Ζガンダム
マジンガーZ
ポケットモンスター
ARIA The Animation
ドラえもん
鉄腕アトム
呪術廻戦
クラナド
エイトマン
幽☆遊☆白書
巨人の星
オバケのQ太郎
キン肉マン
あんみつ姫
るろうに剣心 -明治剣客浪漫譚-
僕のヒーローアカデミア
妖怪人間ベム
スーパージェッター
カードキャプターさくら
蟲師
アタックNo.1あしたのジョー
あしたのジョー
その着せ替え人形は恋をする
科学忍者隊ガッチャマン
ノーゲーム・ノーライフ
天地無用！
新世紀エヴァンゲリオン
ドラえもんうる星やつら
となりのトトロ
推しの子
薬屋のひとりごと
クレヨンしんちゃん
STEINS;GATE
千と千尋の神隠し進撃の巨人
小林さんちのメイドラゴン
北斗の拳
ルパン三世
デスノート
キャンディ・キャンディ
涼宮ハルヒの憂鬱
シティーハンター
ドカベン
ドラゴンボール
BLEACH
ワンパンマン
化物語
キャッツ・アイ
魔法の天使クリィミーマミ
ハリスの旋風
銀河英雄伝説
機動戦士Vガンダム
タイムボカン
ヴァイオレット・エヴァーガーデン
ブルーロック
銀牙 -流れ星 銀-
チェンソーマン
【推しの子】
魔法少女リリカルなのは
ソードアート・オンライン
ゼロの使い魔
やはり俺の青春ラブコメはまちがっている。
地獄楽
スクールランブル
この素晴らしい世界に祝福を！
モブサイコ100 III
ふしぎ遊戯
忍たま乱太郎
ぼっち・ざ・ろっく！
コードギアス 反逆のルルーシュ
プリキュア
ど根性ガエル
ヤッターマン
忍者ハットリくん
キャプテン翼
トランスフォーマー
ぼのぼの
こちら葛飾区亀有公園前派出所
